AKAP1,PTHR22948:SF65,PTHR22948
PRDX4,PTHR10681:SF171,PTHR10681
METTL24,PTHR32026:SF28,PTHR32026
TBX19,PTHR11267:SF114,PTHR11267
DGCR8,PTHR13482:SF3,PTHR13482
ASF1B,PTHR12040:SF22,PTHR12040
MTM1,PTHR10807:SF69,PTHR10807
FZD4,PTHR11309:SF23,PTHR11309
UNC13C,PTHR10480:SF2,PTHR10480
TYRO3,PTHR24416:SF279,PTHR24416
ZNF543,PTHR24377:SF710,PTHR24377
CYP4A11,PTHR24291:SF39,PTHR24291
WFDC12,PTHR19441:SF42,PTHR19441
MRPS31,PTHR13231:SF3,PTHR13231
RAD9A,PTHR15237:SF1,PTHR15237
PSMA6,PTHR11599:SF11,PTHR11599
SLC22A31,PTHR24064:SF196,PTHR24064
MAPKBP1,PTHR44813:SF1,PTHR44813
SMDT1,PTHR33904:SF1,PTHR33904
SCAF1,PTHR47013:SF1,PTHR47013
UQCRC1,PTHR11851:SF116,PTHR11851
GAGE12I,PTHR14047:SF30,PTHR14047
OOSP2,PTHR14380:SF7,PTHR14380
THEMIS,PTHR15215:SF1,PTHR15215
TOMM40L,PTHR10802:SF0,PTHR10802
MEI4,PTHR28575:SF1,PTHR28575
PPP1R14B,PTHR16188:SF5,PTHR16188
OR4C12,PTHR48002:SF105,PTHR48002
OSBPL8,PTHR10972:SF207,PTHR10972
DOCK11,PTHR23317:SF81,PTHR23317
TMEM86B,PTHR31885:SF7,PTHR31885
HDDC3,PTHR46246:SF1,PTHR46246
PGF,PTHR12025:SF9,PTHR12025
TMCO2,PTHR38496:SF1,PTHR38496
SLC15A3,PTHR11654:SF95,PTHR11654
GABRA5,PTHR18945:SF23,PTHR18945
SEMA3C,PTHR11036:SF25,PTHR11036
C7,PTHR45742:SF2,PTHR45742
HDAC11,PTHR48252:SF29,PTHR48252
CNTNAP3,PTHR15036:SF36,PTHR15036
GPC6,PTHR10822:SF31,PTHR10822
ZNF626,PTHR24384:SF218,PTHR24384
PCNX1,PTHR12372:SF2,PTHR12372
JADE1,PTHR13793:SF79,PTHR13793
EVX2,PTHR46294:SF1,PTHR46294
SH3RF1,PTHR14167:SF44,PTHR14167
TBX20,PTHR11267:SF190,PTHR11267
PP2D1,PTHR13832:SF827,PTHR13832
GREB1,PTHR15720:SF13,PTHR15720
NEURL2,PTHR12429:SF8,PTHR12429
KRT34,PTHR23239:SF165,PTHR23239
ZFP36L2,PTHR12547:SF156,PTHR12547
OTX1,PTHR45793:SF9,PTHR45793
FCGR1A,PTHR11481:SF11,PTHR11481
FASLG,PTHR11471:SF33,PTHR11471
HERC3,PTHR45622:SF18,PTHR45622
SUCLG1,PTHR11117:SF2,PTHR11117
TSN,PTHR10741:SF2,PTHR10741
NRP1,PTHR46806:SF4,PTHR46806
UVSSA,PTHR28670:SF1,PTHR28670
SAV1,PTHR47522:SF2,PTHR47522
HOXB9,PTHR45970:SF5,PTHR45970
TMEM190,PTHR37868:SF1,PTHR37868
CDK8,PTHR24056:SF243,PTHR24056
KIR2DS5,PTHR11738:SF113,PTHR11738
AQP7P3,PTHR43829:SF25,PTHR43829
RHOU,PTHR24072:SF148,PTHR24072
ZNF699,PTHR24377:SF899,PTHR24377
TTC30B,PTHR20931:SF6,PTHR20931
PNMA1,PTHR23095:SF17,PTHR23095
RECQL,PTHR13710:SF72,PTHR13710
FLT3,PTHR24416:SF356,PTHR24416
CISD3,PTHR46491:SF3,PTHR46491
ZNF232,PTHR23226:SF54,PTHR23226
ABCB6,PTHR24221:SF586,PTHR24221
SLC2A3,PTHR23503:SF99,PTHR23503
CLDN4,PTHR12002:SF89,PTHR12002
ILDR1,PTHR15923:SF3,PTHR15923
TESPA1,PTHR17469:SF1,PTHR17469
LAIR1,PTHR11738:SF129,PTHR11738
ABCC9,PTHR24223:SF173,PTHR24223
TM4SF19,PTHR14198:SF22,PTHR14198
PKD2L1,PTHR10877:SF183,PTHR10877
ZNF41,PTHR24377:SF669,PTHR24377
MILR1,PTHR11481:SF58,PTHR11481
CRYGN,PTHR11818:SF22,PTHR11818
PRSS3,PTHR24264:SF48,PTHR24264
NBPF7,PTHR14199:SF42,PTHR14199
FUT9,PTHR11929:SF10,PTHR11929
NPY4R,PTHR24235:SF25,PTHR24235
CCL15,PTHR12015:SF77,PTHR12015
MLANA,PTHR15305:SF0,PTHR15305
RNF138,PTHR46968:SF2,PTHR46968
FAM72B,PTHR31841:SF1,PTHR31841
GSDME,PTHR15207:SF1,PTHR15207
LRRC45,PTHR23170:SF3,PTHR23170
AKR7A3,PTHR43625:SF11,PTHR43625
RAD51D,PTHR46457:SF1,PTHR46457
FCRL3,PTHR11481:SF93,PTHR11481
CAPS,PTHR34524:SF2,PTHR34524
ABCC10,PTHR24223:SF330,PTHR24223
PCYT1A,PTHR10739:SF19,PTHR10739
PRSS38,PTHR24250:SF30,PTHR24250
DHX29,PTHR18934:SF145,PTHR18934
TSPY4,PTHR11875:SF12,PTHR11875
GOPC,PTHR16528:SF2,PTHR16528
VWA3A,PTHR46478:SF1,PTHR46478
PAQR9,PTHR20855:SF58,PTHR20855
ANGPTL3,PTHR19143:SF222,PTHR19143
ALK,PTHR24416:SF276,PTHR24416
CTXN1,PTHR16736:SF3,PTHR16736
MRPL23,PTHR12059:SF5,PTHR12059
HTN3,PTHR15057:SF0,PTHR15057
ARG1,PTHR43782:SF2,PTHR43782
UBE2S,PTHR24068:SF393,PTHR24068
RTN2,PTHR45799:SF3,PTHR45799
TRPM6,PTHR13800:SF15,PTHR13800
SIX6OS1,PTHR35449:SF1,PTHR35449
ICE1,PTHR11852:SF4,PTHR11852
GNAO1,PTHR10218:SF355,PTHR10218
TACR3,PTHR46925:SF1,PTHR46925
C17orf50,PTHR37878:SF1,PTHR37878
FAM90A7P,PTHR16035:SF14,PTHR16035
CDC42SE2,PTHR13502:SF4,PTHR13502
TRMT1L,PTHR10631:SF1,PTHR10631
EBI3,PTHR23036:SF167,PTHR23036
LY6G5B,PTHR14313:SF2,PTHR14313
TSPAN19,PTHR19282:SF211,PTHR19282
MPDU1,PTHR12226:SF2,PTHR12226
ZFP69B,PTHR24381:SF135,PTHR24381
TCF7L2,PTHR10373:SF32,PTHR10373
PAOX,PTHR10742:SF405,PTHR10742
ARRB1,PTHR11792:SF22,PTHR11792
SUGCT,PTHR48207:SF3,PTHR48207
ZNF441,PTHR24379:SF22,PTHR24379
SLC5A10,PTHR11819:SF128,PTHR11819
CAMK1,PTHR24347:SF197,PTHR24347
TMEM196,PTHR28681:SF1,PTHR28681
TBCK,PTHR22957:SF168,PTHR22957
PCDHB6,PTHR24028:SF104,PTHR24028
KRTAP7-1,PTHR38504:SF1,PTHR38504
PHYKPL,PTHR45688:SF6,PTHR45688
PSMC6,PTHR23073:SF76,PTHR23073
USP35,PTHR24006:SF660,PTHR24006
ASB17,PTHR20966:SF2,PTHR20966
STRN4,PTHR15653:SF1,PTHR15653
NLRC3,PTHR24106:SF278,PTHR24106
PSMD11,PTHR10678:SF2,PTHR10678
SMCR8,PTHR31334:SF1,PTHR31334
OR14K1,PTHR26452:SF388,PTHR26452
CFB,PTHR46393:SF1,PTHR46393
KCNMA1,PTHR10027:SF28,PTHR10027
PRKCB,PTHR24356:SF158,PTHR24356
APIP,PTHR10640:SF7,PTHR10640
ART5,PTHR10339:SF2,PTHR10339
UGT1A1,PTHR48050:SF8,PTHR48050
GAR1,PTHR23237:SF10,PTHR23237
PI16,PTHR10334:SF461,PTHR10334
CXADR,PTHR44468:SF3,PTHR44468
TENT5A,PTHR12974:SF25,PTHR12974
DAZAP1,PTHR48027:SF21,PTHR48027
MPC1,PTHR14154:SF8,PTHR14154
FLNC,PTHR38537:SF12,PTHR38537
MAL,PTHR22776:SF12,PTHR22776
RBKS,PTHR10584:SF166,PTHR10584
ANAPC16,PTHR31564:SF0,PTHR31564
PTPN14,PTHR45706:SF6,PTHR45706
UBA2,PTHR10953:SF5,PTHR10953
ADGRB2,PTHR12011:SF41,PTHR12011
ITGAD,PTHR23220:SF132,PTHR23220
UBE2E1,PTHR24068:SF70,PTHR24068
OR5H8,PTHR26452:SF775,PTHR26452
CHRNE,PTHR18945:SF59,PTHR18945
TRPM7,PTHR13800:SF8,PTHR13800
TMEM222,PTHR20921:SF0,PTHR20921
MAD2L1BP,PTHR15681:SF1,PTHR15681
FLVCR1,PTHR10924:SF2,PTHR10924
RPS9,PTHR11831:SF46,PTHR11831
ENTPD8,PTHR11782:SF31,PTHR11782
VAPA,PTHR10809:SF155,PTHR10809
TOX4,PTHR45781:SF2,PTHR45781
GTF3C1,PTHR15180:SF1,PTHR15180
CTBP1,PTHR46029:SF2,PTHR46029
SFXN4,PTHR11153:SF3,PTHR11153
ACVR1B,PTHR23255:SF22,PTHR23255
TRAV13-2,PTHR19433:SF117,PTHR19433
MTFR2,PTHR14215:SF2,PTHR14215
TRIM42,PTHR25465:SF13,PTHR25465
WASF1,PTHR12902:SF8,PTHR12902
LMNA,PTHR45721:SF5,PTHR45721
HDAC10,PTHR48252:SF32,PTHR48252
ZNF714,PTHR24384:SF104,PTHR24384
MND1,PTHR31398:SF0,PTHR31398
TCEA3,PTHR11477:SF4,PTHR11477
RANBP6,PTHR10527:SF16,PTHR10527
TPCN1,PTHR46474:SF1,PTHR46474
ZNF681,PTHR24377:SF356,PTHR24377
CD101,PTHR12207:SF25,PTHR12207
NCOA2,PTHR10684:SF2,PTHR10684
LPCAT1,PTHR23063:SF57,PTHR23063
ZNF648,PTHR24388:SF50,PTHR24388
TEX11,PTHR47083:SF1,PTHR47083
ODR4,PTHR33966:SF1,PTHR33966
OR6C4,PTHR26454:SF9,PTHR26454
INAFM2,PTHR34929:SF4,PTHR34929
UNC45A,PTHR45994:SF3,PTHR45994
THUMPD3,PTHR14911:SF13,PTHR14911
SEMA4F,PTHR11036:SF72,PTHR11036
RBBP9,PTHR15394:SF3,PTHR15394
OGFOD1,PTHR12117:SF0,PTHR12117
YBX2,PTHR11544:SF61,PTHR11544
RHEX,PTHR38491:SF1,PTHR38491
ZNF223,PTHR24377:SF982,PTHR24377
CAST,PTHR10077:SF0,PTHR10077
ADAM8,PTHR11905:SF20,PTHR11905
CUBN,PTHR47537:SF2,PTHR47537
ZNF431,PTHR24384:SF88,PTHR24384
RBP4,PTHR11873:SF2,PTHR11873
ATP6V0A1,PTHR11629:SF68,PTHR11629
OR4D1,PTHR48002:SF15,PTHR48002
IGKV3OR2-268,PTHR23267:SF331,PTHR23267
NTRK3,PTHR24416:SF66,PTHR24416
MARVELD1,PTHR22776:SF28,PTHR22776
AP5Z1,PTHR46488:SF1,PTHR46488
NEXMIF,PTHR46946:SF1,PTHR46946
IGKV1-37,PTHR23267:SF468,PTHR23267
ANKRD26,PTHR24147:SF60,PTHR24147
PLEKHA4,PTHR12752:SF7,PTHR12752
BRMS1,PTHR21964:SF15,PTHR21964
HSPA4L,PTHR45639:SF5,PTHR45639
RAB36,PTHR47977:SF10,PTHR47977
SEC11B,PTHR10806:SF28,PTHR10806
SLC22A12,PTHR24064:SF205,PTHR24064
HSPB2,PTHR45640:SF27,PTHR45640
PNOC,PTHR11438:SF2,PTHR11438
MIA3,PTHR23158:SF54,PTHR23158
FAM217B,PTHR22145:SF3,PTHR22145
IRS1,PTHR10614:SF11,PTHR10614
LRRC59,PTHR45752:SF4,PTHR45752
SULT1A4,PTHR11783:SF308,PTHR11783
NPVF,PTHR14403:SF6,PTHR14403
H2BC3,PTHR23428:SF353,PTHR23428
NQO1,PTHR10204:SF1,PTHR10204
CAPZA3,PTHR10653:SF6,PTHR10653
PPWD1,PTHR45625:SF4,PTHR45625
IBA57,PTHR22602:SF0,PTHR22602
MRPL14,PTHR21037:SF3,PTHR21037
MRPL38,PTHR11362:SF133,PTHR11362
PLEKHO1,PTHR15871:SF1,PTHR15871
PAF1,PTHR23188:SF12,PTHR23188
FRMD3,PTHR23280:SF8,PTHR23280
UFD1,PTHR12555:SF20,PTHR12555
E2F1,PTHR12081:SF43,PTHR12081
PDAP1,PTHR22055:SF5,PTHR22055
SLC9A9,PTHR10110:SF61,PTHR10110
INA,PTHR45652:SF18,PTHR45652
NR4A2,PTHR24085:SF0,PTHR24085
TMEM128,PTHR31134:SF1,PTHR31134
ABCC12,PTHR24223:SF10,PTHR24223
PCDHB16,PTHR24028:SF71,PTHR24028
RAD1,PTHR10870:SF0,PTHR10870
METTL9,PTHR12890:SF0,PTHR12890
LSM1,PTHR15588:SF8,PTHR15588
RPS6KC1,PTHR15508:SF2,PTHR15508
FOXRED1,PTHR13847:SF287,PTHR13847
ARID1A,PTHR12656:SF12,PTHR12656
KIAA1549L,PTHR21590:SF3,PTHR21590
CSPP1,PTHR21616:SF2,PTHR21616
SOCS2,PTHR10155:SF7,PTHR10155
MICA,PTHR16675:SF154,PTHR16675
AADACL2,PTHR23024:SF223,PTHR23024
ATF7IP2,PTHR23210:SF23,PTHR23210
GNB1,PTHR19850:SF29,PTHR19850
PAGE5,PTHR14047:SF37,PTHR14047
AQP11,PTHR21191:SF7,PTHR21191
GOSR2,PTHR21230:SF1,PTHR21230
ITPKA,PTHR12400:SF55,PTHR12400
DAD1,PTHR10705:SF0,PTHR10705
MEGF8,PTHR23244:SF456,PTHR23244
ZFPL1,PTHR12981:SF0,PTHR12981
IFNA4,PTHR11691:SF66,PTHR11691
IL18RAP,PTHR11890:SF23,PTHR11890
RNF217,PTHR11685:SF225,PTHR11685
CIDEC,PTHR12306:SF9,PTHR12306
NFIX,PTHR11492:SF3,PTHR11492
GLYAT,PTHR15298:SF9,PTHR15298
TBC1D3K,PTHR22957:SF571,PTHR22957
TMEM216,PTHR13531:SF5,PTHR13531
G3BP1,PTHR10693:SF21,PTHR10693
SPTLC3,PTHR13693:SF56,PTHR13693
CD33,PTHR12035:SF124,PTHR12035
SHISA9,PTHR31774:SF1,PTHR31774
RFC4,PTHR11669:SF20,PTHR11669
CYP1B1,PTHR24299:SF11,PTHR24299
RNF41,PTHR15315:SF74,PTHR15315
FLCN,PTHR31441:SF2,PTHR31441
SET,PTHR11875:SF67,PTHR11875
B3GNT9,PTHR11214:SF91,PTHR11214
KYAT3,PTHR43807:SF6,PTHR43807
ING3,PTHR10333:SF99,PTHR10333
C9orf64,PTHR21314:SF0,PTHR21314
C5orf51,PTHR28494:SF1,PTHR28494
SIRT5,PTHR48252:SF11,PTHR48252
HMX2,PTHR46110:SF4,PTHR46110
FAM107B,PTHR16768:SF1,PTHR16768
ZDHHC15,PTHR22883:SF270,PTHR22883
NUP210L,PTHR23019:SF1,PTHR23019
ODF1,PTHR17125:SF2,PTHR17125
DCST2,PTHR21041:SF6,PTHR21041
SSU72P3,PTHR20383:SF10,PTHR20383
AMPD2,PTHR11359:SF3,PTHR11359
DNM1,PTHR11566:SF32,PTHR11566
TOPBP1,PTHR13561:SF20,PTHR13561
RTN4,PTHR45799:SF1,PTHR45799
TLN1,PTHR19981:SF7,PTHR19981
TDO2,PTHR10138:SF0,PTHR10138
UBR4,PTHR21725:SF1,PTHR21725
MCU,PTHR13462:SF16,PTHR13462
CNIH2,PTHR12290:SF13,PTHR12290
CTSF,PTHR12411:SF444,PTHR12411
ANAPC2,PTHR45957:SF1,PTHR45957
GAGE7,PTHR14047:SF30,PTHR14047
ARHGAP26,PTHR12552:SF4,PTHR12552
SLC38A5,PTHR22950:SF74,PTHR22950
VCY1B,PTHR15251:SF2,PTHR15251
GSTM2,PTHR11571:SF254,PTHR11571
DES,PTHR45652:SF2,PTHR45652
TLL2,PTHR10127:SF866,PTHR10127
S100A7L2,PTHR11639:SF44,PTHR11639
TAOK2,PTHR47167:SF6,PTHR47167
ZNF613,PTHR24404:SF26,PTHR24404
CXCL17,PTHR37351:SF1,PTHR37351
ZFYVE26,PTHR46591:SF1,PTHR46591
CYP4F22,PTHR24291:SF53,PTHR24291
RABL3,PTHR24073:SF128,PTHR24073
KRCC1,PTHR46742:SF3,PTHR46742
ACTN2,PTHR11915:SF429,PTHR11915
TMEM259,PTHR21650:SF4,PTHR21650
CYFIP2,PTHR12195:SF3,PTHR12195
BNIP3,PTHR15186:SF4,PTHR15186
UBB,PTHR10666:SF437,PTHR10666
BPGM,PTHR11931:SF11,PTHR11931
RIBC2,PTHR14517:SF10,PTHR14517
BCL2L11,PTHR12044:SF9,PTHR12044
KPNA6,PTHR23316:SF8,PTHR23316
KANSL1L,PTHR22443:SF16,PTHR22443
IGKV3D-7,PTHR23267:SF331,PTHR23267
ATP9B,PTHR24092:SF50,PTHR24092
SLC17A6,PTHR11662:SF201,PTHR11662
P2RY8,PTHR24232:SF25,PTHR24232
CHCHD1,PTHR31278:SF2,PTHR31278
CLEC3A,PTHR22799:SF2,PTHR22799
ARL14EPL,PTHR46804:SF4,PTHR46804
RHOXF2,PTHR24329:SF567,PTHR24329
COA7,PTHR13891:SF1,PTHR13891
ADTRP,PTHR10989:SF17,PTHR10989
RSPRY1,PTHR13363:SF6,PTHR13363
GNA12,PTHR10218:SF130,PTHR10218
TRPV6,PTHR10582:SF25,PTHR10582
CLEC12B,PTHR47647:SF1,PTHR47647
PIK3IP1,PTHR24261:SF16,PTHR24261
TFEC,PTHR45776:SF1,PTHR45776
GLB1,PTHR23421:SF172,PTHR23421
RNF225,PTHR22791:SF1,PTHR22791
NUDT11,PTHR12629:SF35,PTHR12629
OR2M3,PTHR26453:SF204,PTHR26453
KLC2,PTHR45783:SF2,PTHR45783
POLR3K,PTHR11239:SF12,PTHR11239
NANOGP1,PTHR24327:SF83,PTHR24327
CCT8,PTHR11353:SF78,PTHR11353
NOL9,PTHR12755:SF3,PTHR12755
SPDYE21,PTHR31156:SF15,PTHR31156
SLC30A3,PTHR11562:SF30,PTHR11562
ZNF614,PTHR24381:SF110,PTHR24381
KNG1,PTHR13814:SF12,PTHR13814
IFT140,PTHR15722:SF7,PTHR15722
OXSR1,PTHR48012:SF1,PTHR48012
ATP5PB,PTHR12733:SF3,PTHR12733
L3MBTL4,PTHR12247:SF78,PTHR12247
A1BG,PTHR11738:SF184,PTHR11738
MACROD1,PTHR11106:SF93,PTHR11106
VPS37C,PTHR13678:SF8,PTHR13678
PRKAA2,PTHR24343:SF303,PTHR24343
OR52P1P,PTHR26450:SF83,PTHR26450
RTP4,PTHR14402:SF8,PTHR14402
TMEM30B,PTHR10926:SF19,PTHR10926
OR10H4,PTHR26453:SF613,PTHR26453
IGKV6D-21,PTHR23267:SF217,PTHR23267
RP1,PTHR23005:SF4,PTHR23005
PTPN21,PTHR45706:SF3,PTHR45706
NR1D2,PTHR24082:SF112,PTHR24082
RHPN2P1,PTHR23031:SF5,PTHR23031
DTX4,PTHR12622:SF5,PTHR12622
PRKRIP1,PTHR13507:SF0,PTHR13507
ODAD2,PTHR46241:SF1,PTHR46241
PDZD4,PTHR15545:SF4,PTHR15545
SSB,PTHR22792:SF158,PTHR22792
AMZ2,PTHR32205:SF5,PTHR32205
RRP7BP,PTHR13191:SF0,PTHR13191
CAMKK1,PTHR24346:SF77,PTHR24346
ZNF366,PTHR24390:SF38,PTHR24390
GBP5,PTHR10751:SF40,PTHR10751
MPP7,PTHR23122:SF39,PTHR23122
ZNF844,PTHR24379:SF94,PTHR24379
MC1R,PTHR22750:SF2,PTHR22750
TMEM191C,PTHR38498:SF1,PTHR38498
KRR1,PTHR12581:SF0,PTHR12581
CFAP58,PTHR32083:SF31,PTHR32083
SRPK1,PTHR47634:SF4,PTHR47634
R3HCC1,PTHR21678:SF6,PTHR21678
DUSP28,PTHR45961:SF7,PTHR45961
DKC1,PTHR23127:SF0,PTHR23127
SLC45A1,PTHR19432:SF6,PTHR19432
MYBL1,PTHR45614:SF9,PTHR45614
F9,PTHR24278:SF31,PTHR24278
IL6ST,PTHR23036:SF83,PTHR23036
ARFGEF1,PTHR10663:SF137,PTHR10663
EEF1AKMT1,PTHR13200:SF0,PTHR13200
IGSF9,PTHR10075:SF25,PTHR10075
KRTAP10-1,PTHR23262:SF206,PTHR23262
KLF1,PTHR23235:SF133,PTHR23235
CASQ1,PTHR10033:SF14,PTHR10033
TBRG4,PTHR21228:SF59,PTHR21228
WWC2,PTHR14791:SF26,PTHR14791
CYFIP1,PTHR12195:SF4,PTHR12195
NLRP2,PTHR45690:SF14,PTHR45690
RGS7BP,PTHR21029:SF12,PTHR21029
IGHV3OR16-9,PTHR23266:SF298,PTHR23266
RNF181,PTHR15710:SF160,PTHR15710
TET2,PTHR23358:SF3,PTHR23358
DENND1A,PTHR13196:SF22,PTHR13196
PTPRD,PTHR19134:SF430,PTHR19134
LMF2,PTHR14463:SF5,PTHR14463
CFAP298,PTHR13238:SF0,PTHR13238
DPH3P1,PTHR21454:SF23,PTHR21454
CASTOR3,PTHR31131:SF2,PTHR31131
MLLT3,PTHR47827:SF5,PTHR47827
SDR42E2,PTHR10366:SF241,PTHR10366
DHFR,PTHR48069:SF6,PTHR48069
C9orf116,PTHR20899:SF1,PTHR20899
FAM180A,PTHR34034:SF2,PTHR34034
FKBP4,PTHR10516:SF25,PTHR10516
MTRNR2L6,PTHR33895:SF18,PTHR33895
CPNE4,PTHR10857:SF4,PTHR10857
UBXN7,PTHR23322:SF6,PTHR23322
KCNJ4,PTHR11767:SF53,PTHR11767
ITIH3,PTHR10338:SF115,PTHR10338
MED29,PTHR28314:SF1,PTHR28314
LZIC,PTHR16505:SF8,PTHR16505
ARL3,PTHR45697:SF4,PTHR45697
XPO7,PTHR12596:SF11,PTHR12596
NATD1,PTHR31435:SF9,PTHR31435
CCNL1,PTHR10026:SF64,PTHR10026
TBL3,PTHR19854:SF15,PTHR19854
RPL7L1,PTHR11524:SF13,PTHR11524
GOLGA3,PTHR18902:SF26,PTHR18902
HGF,PTHR24261:SF8,PTHR24261
ISM2,PTHR10239:SF28,PTHR10239
PIGV,PTHR12468:SF2,PTHR12468
NCAPG2,PTHR16199:SF4,PTHR16199
HOXD3,PTHR45664:SF5,PTHR45664
USP21,PTHR21646:SF6,PTHR21646
C17orf64,PTHR21765:SF1,PTHR21765
SMIM15,PTHR28644:SF1,PTHR28644
SENP6,PTHR46896:SF1,PTHR46896
SNX30,PTHR45949:SF1,PTHR45949
PHF12,PTHR46309:SF1,PTHR46309
TMC1,PTHR23302:SF18,PTHR23302
STARD6,PTHR46374:SF2,PTHR46374
INTS12,PTHR13415:SF2,PTHR13415
FOXF1,PTHR46262:SF1,PTHR46262
CPA4,PTHR11705:SF136,PTHR11705
TRABD2A,PTHR31120:SF7,PTHR31120
GLMN,PTHR15430:SF1,PTHR15430
LCP2,PTHR14098:SF1,PTHR14098
H3Y2,PTHR11426:SF262,PTHR11426
BHMT2,PTHR46120:SF3,PTHR46120
SLC26A2,PTHR11814:SF16,PTHR11814
PPFIBP2,PTHR12587:SF18,PTHR12587
YIF1A,PTHR14083:SF2,PTHR14083
AMH,PTHR15009:SF4,PTHR15009
RNPC3,PTHR16105:SF6,PTHR16105
ZFHX4,PTHR45891:SF2,PTHR45891
PDE8A,PTHR11347:SF85,PTHR11347
TUT7,PTHR12271:SF34,PTHR12271
KHDRBS2,PTHR11208:SF34,PTHR11208
TUBGCP5,PTHR19302:SF33,PTHR19302
CNTN3,PTHR12231:SF224,PTHR12231
KCNG2,PTHR11537:SF90,PTHR11537
OR1J2,PTHR48001:SF9,PTHR48001
GDE1,PTHR46320:SF1,PTHR46320
NFKBIZ,PTHR24124:SF5,PTHR24124
TFPT,PTHR35084:SF1,PTHR35084
FABP6,PTHR11955:SF69,PTHR11955
LPCAT2,PTHR23063:SF21,PTHR23063
C1orf87,PTHR34830:SF1,PTHR34830
PAFAH1B3,PTHR11852:SF2,PTHR11852
CLEC4D,PTHR22802:SF11,PTHR22802
TSTD1,PTHR45544:SF1,PTHR45544
OR5V1,PTHR26453:SF295,PTHR26453
HES7,PTHR10985:SF84,PTHR10985
CCDC7,PTHR22035:SF4,PTHR22035
MRPL2,PTHR13691:SF5,PTHR13691
RBP2,PTHR11955:SF59,PTHR11955
GAGE12J,PTHR14047:SF30,PTHR14047
KLHL7,PTHR24412:SF435,PTHR24412
GOLM1,PTHR15896:SF8,PTHR15896
PATE2,PTHR47884:SF1,PTHR47884
DTL,PTHR22852:SF0,PTHR22852
FBXL15,PTHR13318:SF179,PTHR13318
TRGV4,PTHR19256:SF57,PTHR19256
OR51F2,PTHR26450:SF87,PTHR26450
CDK1,PTHR24056:SF334,PTHR24056
RPS23,PTHR11652:SF44,PTHR11652
HCN2,PTHR45689:SF11,PTHR45689
SPATA20,PTHR42899:SF1,PTHR42899
PLEKHA7,PTHR12752:SF4,PTHR12752
MAP2K7,PTHR48013:SF17,PTHR48013
NUTM2A,PTHR22879:SF14,PTHR22879
SRI,PTHR46735:SF7,PTHR46735
PASK,PTHR24346:SF51,PTHR24346
PMEPA1,PTHR16514:SF5,PTHR16514
WASHC2A,PTHR21669:SF38,PTHR21669
CARD19,PTHR34765:SF1,PTHR34765
PRCC,PTHR13621:SF2,PTHR13621
PSME3,PTHR10660:SF4,PTHR10660
ADRA1A,PTHR24248:SF16,PTHR24248
RIDA,PTHR11803:SF53,PTHR11803
RCHY1,PTHR21319:SF53,PTHR21319
ZRANB3,PTHR45766:SF5,PTHR45766
SMOC1,PTHR12352:SF13,PTHR12352
FAM187B,PTHR32178:SF8,PTHR32178
CYP4Z2P,PTHR24291:SF63,PTHR24291
VWC2L,PTHR46252:SF2,PTHR46252
NPRL3,PTHR13153:SF5,PTHR13153
LCA5,PTHR16650:SF10,PTHR16650
ADM5,PTHR23414:SF6,PTHR23414
MLLT10,PTHR13793:SF93,PTHR13793
POU5F1,PTHR11636:SF86,PTHR11636
TRGV9,PTHR19256:SF44,PTHR19256
USP17L4,PTHR24006:SF926,PTHR24006
ASB6,PTHR24132:SF25,PTHR24132
GPR34,PTHR24233:SF1,PTHR24233
CAMK1G,PTHR24347:SF116,PTHR24347
SP3,PTHR23235:SF3,PTHR23235
COA1,PTHR47148:SF1,PTHR47148
AGRN,PTHR15036:SF83,PTHR15036
PPIAL4C,PTHR11071:SF466,PTHR11071
RPS6,PTHR11502:SF34,PTHR11502
PCDH10,PTHR24028:SF0,PTHR24028
R3HDM4,PTHR32019:SF2,PTHR32019
OR10X1,PTHR24242:SF264,PTHR24242
BAP1,PTHR10589:SF28,PTHR10589
CPLANE2,PTHR14983:SF1,PTHR14983
FAM168B,PTHR31844:SF2,PTHR31844
ZNF443,PTHR24379:SF68,PTHR24379
KIRREL3,PTHR11640:SF49,PTHR11640
SLC9A8,PTHR10110:SF191,PTHR10110
AHCY,PTHR23420:SF20,PTHR23420
NUDT1,PTHR43758:SF2,PTHR43758
VEGFD,PTHR12025:SF11,PTHR12025
MFHAS1,PTHR45752:SF48,PTHR45752
GRIA3,PTHR18966:SF151,PTHR18966
DYNC1I2,PTHR12442:SF37,PTHR12442
NAT14,PTHR13947:SF51,PTHR13947
EBNA1BP2,PTHR13028:SF0,PTHR13028
PPP4R3C,PTHR23318:SF19,PTHR23318
PIGA,PTHR45871:SF3,PTHR45871
ZNF776,PTHR24377:SF725,PTHR24377
DTD2,PTHR10472:SF1,PTHR10472
PEPD,PTHR43226:SF1,PTHR43226
CDAN1,PTHR28678:SF1,PTHR28678
TRAPPC13,PTHR13134:SF3,PTHR13134
FANCB,PTHR28450:SF1,PTHR28450
LRRC37A,PTHR23045:SF19,PTHR23045
IRAK4,PTHR24419:SF35,PTHR24419
FGF19,PTHR11486:SF74,PTHR11486
ECHDC1,PTHR11941:SF27,PTHR11941
HSPA1B,PTHR19375:SF223,PTHR19375
ZBTB9,PTHR46105:SF13,PTHR46105
NANOGP8,PTHR24327:SF79,PTHR24327
C4orf47,PTHR31144:SF1,PTHR31144
ARHGEF12,PTHR45872:SF3,PTHR45872
