"","pair","N","Y","gene1","gene2","Ours","HCT116.gi","GM12878.gi","Dede","A549.gi","HT29.gi","OVCAR8.gi","Phoebe","PC9.gi","HeLa.gi","Nicola","A375.gi","Mewo.gi","RPE1.gi","report","sum","cells","half","robust"
"1005","SPRYD3.RANBP9",3,0,"SPRYD3","RANBP9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1006","SREBF2.SREBF1",3,0,"SREBF2","SREBF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1007","SRP19.CTC-487M23.8",3,0,"SRP19","CTC-487M23.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1008","SRSF11.SREK1",3,0,"SRSF11","SREK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1009","SRSF5.SRSF4",3,0,"SRSF5","SRSF4",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1010","STAT3.STAT1",3,0,"STAT3","STAT1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1011","STAU2.STAU1",3,0,"STAU2","STAU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1012","STIM2.STIM1",3,0,"STIM2","STIM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1013","STK17B.STK17A",3,0,"STK17B","STK17A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1014","STK35.PDIK1L",3,0,"STK35","PDIK1L",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1015","STK38L.STK38",3,0,"STK38L","STK38",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1016","STON1-GTF2A1L.STON1",3,0,"STON1-GTF2A1L","STON1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1017","STRAP.EIF3I",3,0,"STRAP","EIF3I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1018","STT3B.STT3A",3,0,"STT3B","STT3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1019","SUSD2.MUC4",3,0,"SUSD2","MUC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1020","SYNGR3.SYNGR2",3,0,"SYNGR3","SYNGR2",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1021","SYNJ2.SYNJ1",3,0,"SYNJ2","SYNJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1022","SYS1-DBNDD2.SYS1",3,0,"SYS1-DBNDD2","SYS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1023","SYT13.SYT12",3,0,"SYT13","SYT12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1024","TADA2B.TADA2A",3,0,"TADA2B","TADA2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1025","TAF4B.TAF4",3,0,"TAF4B","TAF4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1026","TAGAP.ARHGAP20",3,0,"TAGAP","ARHGAP20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1027","TARDBP.DAZAP1",3,0,"TARDBP","DAZAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1028","TATDN2.TATDN1",3,0,"TATDN2","TATDN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1029","TBC1D17.TBC1D15",3,0,"TBC1D17","TBC1D15",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1030","TBC1D24.RP11-20I23.1",3,0,"TBC1D24","RP11-20I23.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1031","TBC1D4.TBC1D1",3,0,"TBC1D4","TBC1D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1032","TCF3.TCF12",3,0,"TCF3","TCF12",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1033","TDRD6.TDRD15",3,0,"TDRD6","TDRD15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1034","TECRL.TECR",3,0,"TECRL","TECR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1035","TEP1.RRP9",3,0,"TEP1","RRP9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1036","TESK2.TESK1",3,0,"TESK2","TESK1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1037","TEX261.AC007040.11",3,0,"TEX261","AC007040.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1038","TFB1M.DIMT1",3,0,"TFB1M","DIMT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1039","TGFBI.POSTN",3,0,"TGFBI","POSTN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1040","THSD7A.SPON1",3,0,"THSD7A","SPON1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1041","TINAGL1.TINAG",3,0,"TINAGL1","TINAG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1042","TJP2.TJP1",3,0,"TJP2","TJP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1043","TM2D3.TM2D1",3,0,"TM2D3","TM2D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1044","TMED6.RP11-343C2.7",3,0,"TMED6","RP11-343C2.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1045","TMED7-TICAM2.TICAM2",3,0,"TMED7-TICAM2","TICAM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1046","TMEM131.KIAA0922",3,0,"TMEM131","KIAA0922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1047","TMEM14C.TMEM14A",3,0,"TMEM14C","TMEM14A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1048","TMEM14C.TMEM14B",3,0,"TMEM14C","TMEM14B",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1049","TMEM170B.TMEM170A",3,0,"TMEM170B","TMEM170A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1050","TMEM87B.TMEM87A",3,0,"TMEM87B","TMEM87A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1051","TNK2.TNK1",3,0,"TNK2","TNK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1052","TNPO3.IPO13",3,0,"TNPO3","IPO13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1053","TOP3B.TOP3A",3,0,"TOP3B","TOP3A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1054","TP53I3.RTN4IP1",3,0,"TP53I3","RTN4IP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1055","TP53INP2.TP53INP1",3,0,"TP53INP2","TP53INP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1056","TPM4.TPM3",3,0,"TPM4","TPM3",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1057","TRERF1.ELMSAN1",3,0,"TRERF1","ELMSAN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1058","TRIM5.TRIM34",3,0,"TRIM5","TRIM34",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1059","TRIM59.RP11-432B6.3",3,0,"TRIM59","RP11-432B6.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1060","TRIOBP.MPRIP",3,0,"TRIOBP","MPRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1061","TRIP12.HECTD1",3,0,"TRIP12","HECTD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1062","TSPAN17.TSPAN14",3,0,"TSPAN17","TSPAN14",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1063","TSPYL4.TSPYL1",3,0,"TSPYL4","TSPYL1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1064","TTBK2.TTBK1",3,0,"TTBK2","TTBK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1065","TTLL4.TTLL11",3,0,"TTLL4","TTLL11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1066","TUBGCP3.TUBGCP2",3,0,"TUBGCP3","TUBGCP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1067","TUFM.EEFSEC",3,0,"TUFM","EEFSEC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1068","TXNL4B.TXNL4A",3,0,"TXNL4B","TXNL4A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1069","UBA5.MOCS3",3,0,"UBA5","MOCS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1070","UBE2R2.CDC34",3,0,"UBE2R2","CDC34",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1071","UBE2U.UBE2C",3,0,"UBE2U","UBE2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1072","UBN2.UBN1",3,0,"UBN2","UBN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1073","UBP1.TFCP2",3,0,"UBP1","TFCP2",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1074","UBR2.UBR1",3,0,"UBR2","UBR1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1075","UCKL1.UCK2",3,0,"UCKL1","UCK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1076","UHMK1.U2AF2",3,0,"UHMK1","U2AF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1077","UNKL.UNK",3,0,"UNKL","UNK",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1078","UQCRC2.PMPCA",3,0,"UQCRC2","PMPCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1079","USH1G.ANKS4B",3,0,"USH1G","ANKS4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1080","USH2A.MEGF9",3,0,"USH2A","MEGF9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1081","USP45.USP16",3,0,"USP45","USP16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1082","USP54.USP53",3,0,"USP54","USP53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1083","USP6NL.USP6",3,0,"USP6NL","USP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1084","UST.HS2ST1",3,0,"UST","HS2ST1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1085","VAMP2.VAMP1",3,0,"VAMP2","VAMP1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1086","VARS2.VARS",3,0,"VARS2","VARS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1087","VCP.SPATA5L1",3,0,"VCP","SPATA5L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1088","VDAC3.VDAC2",3,0,"VDAC3","VDAC2",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1089","VPS39.TGFBRAP1",3,0,"VPS39","TGFBRAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1090","WASF2.WASF1",3,0,"WASF2","WASF1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1091","WASL.WAS",3,0,"WASL","WAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1092","WDR31.GNB2L1",3,0,"WDR31","GNB2L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1093","WDR37.WDR12",3,0,"WDR37","WDR12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1094","WDR72.WDR7",3,0,"WDR72","WDR7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1095","WDTC1.DCAF6",3,0,"WDTC1","DCAF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1096","WEE2.WEE1",3,0,"WEE2","WEE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1097","WIF1.VWDE",3,0,"WIF1","VWDE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1098","WSB2.WSB1",3,0,"WSB2","WSB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1099","XDH.AOX1",3,0,"XDH","AOX1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1100","YAP1.WWTR1",3,0,"YAP1","WWTR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","Reported",3,"2-3 cell lines","",""
"1101","YY1AP1.GON4L",3,0,"YY1AP1","GON4L",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1102","ZBTB25.ZBTB2",3,0,"ZBTB25","ZBTB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1103","ZBTB44.BACH1",3,0,"ZBTB44","BACH1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1104","ZBTB46.ZBTB10",3,0,"ZBTB46","ZBTB10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1105","ZDHHC17.ZDHHC13",3,0,"ZDHHC17","ZDHHC13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1106","ZDHHC8.ZDHHC5",3,0,"ZDHHC8","ZDHHC5",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1107","ZEB2.ZEB1",3,0,"ZEB2","ZEB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","Reported",3,"2-3 cell lines","",""
"1108","ZFAND2B.ZFAND2A",3,0,"ZFAND2B","ZFAND2A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1109","ZFR2.ZFR",3,0,"ZFR2","ZFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1110","ZKSCAN4.ZKSCAN3",3,0,"ZKSCAN4","ZKSCAN3",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1111","ZKSCAN8.ZKSCAN1",3,0,"ZKSCAN8","ZKSCAN1",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1112","ZNF169.ZNF133",3,0,"ZNF169","ZNF133",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1113","ZNF268.ZNF26",3,0,"ZNF268","ZNF26",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1114","ZNF280D.POGZ",3,0,"ZNF280D","POGZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1115","ZNF286B.ZNF286A",3,0,"ZNF286B","ZNF286A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1116","ZNF354B.ZNF354A",3,0,"ZNF354B","ZNF354A",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1117","ZNF488.PRDM8",3,0,"ZNF488","PRDM8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1118","ZNF513.ZNF142",3,0,"ZNF513","ZNF142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1119","ZNF558.ZNF557",3,0,"ZNF558","ZNF557",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1120","ZNF581.ZNF524",3,0,"ZNF581","ZNF524",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1121","ZNF581.ZNF580",3,0,"ZNF581","ZNF580",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1122","ZNF611.ZNF600",3,0,"ZNF611","ZNF600",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1123","ZNF620.ZNF619",3,0,"ZNF620","ZNF619",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1124","ZNF627.ZNF136",3,0,"ZNF627","ZNF136",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1125","ZNF683.PRDM1",3,0,"ZNF683","PRDM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1126","ZNF764.ZNF747",3,0,"ZNF764","ZNF747",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1127","ZNF77.ZNF555",3,0,"ZNF77","ZNF555",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1128","ZNF785.ZNF764",3,0,"ZNF785","ZNF764",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1129","ZNRF2.ZNRF1",3,0,"ZNRF2","ZNRF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"others","N","N","N","novel",3,"2-3 cell lines","",""
"1130","ZSCAN29.ZKSCAN2",3,0,"ZSCAN29","ZKSCAN2",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1131","ZSCAN30.ZSCAN21",3,0,"ZSCAN30","ZSCAN21",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1132","ZSWIM6.ZSWIM4",3,0,"ZSWIM6","ZSWIM4",NA,NA,NA,"others","N","N","N",NA,NA,NA,NA,NA,NA,NA,"novel",3,"2-3 cell lines","",""
"1133","AADACL2.AADAC",2,0,"AADACL2","AADAC",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1134","AADACL4.AADACL3",2,0,"AADACL4","AADACL3",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1135","ABCC3.ABCC1",2,0,"ABCC3","ABCC1",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1136","ABCC9.ABCC8",2,0,"ABCC9","ABCC8",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1137","ABCD2.ABCD1",2,0,"ABCD2","ABCD1",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1138","ABCG4.ABCG1",2,0,"ABCG4","ABCG1",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1139","ABI2.ABI1",2,0,"ABI2","ABI1",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1140","ACSL5.ACSL1",2,0,"ACSL5","ACSL1","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1141","ACTG2.ACTA2",2,0,"ACTG2","ACTA2",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1142","ACTL6B.ACTL6A",2,0,"ACTL6B","ACTL6A",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1143","ACTL7B.ACTL7A",2,0,"ACTL7B","ACTL7A",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1144","ACTN4.ACTN2",2,0,"ACTN4","ACTN2","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1145","ACTRT2.ACTRT1",2,0,"ACTRT2","ACTRT1",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1146","ACVRL1.ACVR1",2,0,"ACVRL1","ACVR1",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1147","ADAMTS18.ADAMTS16",2,0,"ADAMTS18","ADAMTS16",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1148","ADAMTS6.ADAMTS10",2,0,"ADAMTS6","ADAMTS10",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1149","ADARB2.ADARB1",2,0,"ADARB2","ADARB1",NA,NA,NA,NA,NA,NA,NA,"others","N","N",NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1150","ADD3.ADD2",2,0,"ADD3","ADD2","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1151","ADNP2.ADNP",2,0,"ADNP2","ADNP","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1152","AFAP1L2.AFAP1",2,0,"AFAP1L2","AFAP1","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1153","AFF4.AFF3",2,0,"AFF4","AFF3","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1154","AGBL3.AGBL2",2,0,"AGBL3","AGBL2","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1155","AGO2.AGO1",2,0,"AGO2","AGO1","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
"1156","AGO3.AGO2",2,0,"AGO3","AGO2","others","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"novel",2,"2-3 cell lines","",""
