A1CF	ENSGALG00000003765
NEDD9	ENSGALG00000012747
NEFH	ENSGALG00000008085
NEFL	ENSGALG00000000314
NEFM	ENSGALG00000000317
NEGR1	ENSGALG00000011350
NEIL1	ENSGALG00000001586
NEIL2	ENSGALG00000016664
NEIL3	ENSGALG00000010719
NEK10	ENSGALG00000011322
NEK1	ENSGALG00000009683
NEK2	ENSGALG00000009854
NEK3	ENSGALG00000017024
NEK4	ENSGALG00000041428
NEK5	ENSGALG00000017023
NEK6	ENSGALG00000001118
NEK7	ENSGALG00000002216
NEK8	ENSGALG00000003979
NEK9	ENSGALG00000010314
NELFA	ENSGALG00000015699
NELFB	ENSGALG00000008532
NELFCD	ENSGALG00000007477
NELL1	ENSGALG00000003777
NELL2	ENSGALG00000009601
NEMF	ENSGALG00000012263
NEMP1	ENSGALG00000031056
NENF	ENSGALG00000009821
NEO1	ENSGALG00000001774
NEPRO	ENSGALG00000015182
NET1	ENSGALG00000008437
NETO2	ENSGALG00000004071
NEU2	ENSGALG00000037467
NEU3	ENSGALG00000028960
NEU4	ENSGALG00000006361
NEURL1B	ENSGALG00000002846
NEURL1	ENSGALG00000008281
NEURL2	ENSGALG00000006854
NEUROD1	ENSGALG00000008908
NEUROD2	ENSGALG00000039633
NEUROD4	ENSGALG00000034306
NEUROG1	ENSGALG00000029692
NEXMIF	ENSGALG00000007755
NEXN	ENSGALG00000008945
NF1	ENSGALG00000005660
NF2	ENSGALG00000008073
NFAM1	ENSGALG00000011872
NFAT5	ENSGALG00000039300
NFATC1	ENSGALG00000042534
NFATC2	ENSGALG00000007963
NFATC3	ENSGALG00000003396
NFE2L1	ENSGALG00000011937
NFE2L2	ENSGALG00000009240
NFIA	ENSGALG00000010924
NFIB	ENSGALG00000005441
NFIC	ENSGALG00000041643
NFIL3	ENSGALG00000015209
NFIX	ENSGALG00000041630
NFKB1	ENSGALG00000012304
NFKB2	ENSGALG00000005653
NFKBIA	ENSGALG00000027864
NFKBIB	ENSGALG00000029691
NFKBIE	ENSGALG00000044525
NFKBIZ	ENSGALG00000015346
NFRKB	ENSGALG00000001306
NFS1	ENSGALG00000001568
NFU1	ENSGALG00000030200
NFX1	ENSGALG00000043724
NFXL1	ENSGALG00000014138
NFYA	ENSGALG00000003247
NFYB	ENSGALG00000041193
NFYC	ENSGALG00000003189
NGB	ENSGALG00000010413
NGEF	ENSGALG00000036327
NGF	ENSGALG00000002556
NGFR	ENSGALG00000035950
NGLY1	ENSGALG00000011304
NHEJ1	ENSGALG00000011335
NHLH1	ENSGALG00000025817
NHLH2	ENSGALG00000033432
NHLRC1	ENSGALG00000012688
NHLRC2	ENSGALG00000008946
NHP2	ENSGALG00000033666
NHS	ENSGALG00000016543
NHSL1	ENSGALG00000026981
NHSL2	ENSGALG00000028506
NIBAN1	ENSGALG00000004812
NIBAN2	ENSGALG00000023872
NID2	ENSGALG00000012394
NIF3L1	ENSGALG00000008226
NIFK	ENSGALG00000011650
NIM1K	ENSGALG00000014861
NIN	ENSGALG00000012361
NINJ1	ENSGALG00000026891
NINJ2	ENSGALG00000012989
NIP7	ENSGALG00000000650
NIPA2	ENSGALG00000016737
NIPAL1	ENSGALG00000027986
NIPAL3	ENSGALG00000004268
NIPAL4	ENSGALG00000039687
NIPBL	ENSGALG00000003605
NIPSNAP1	ENSGALG00000038301
NIPSNAP2	ENSGALG00000002388
NIT1	ENSGALG00000007585
NIT2	ENSGALG00000015275
NKAIN1	ENSGALG00000000604
NKAIN2	ENSGALG00000039756
NKAIN3	ENSGALG00000034899
NKAIN4	ENSGALG00000005774
NKAPD1	ENSGALG00000007882
NKAP	ENSGALG00000020262
NKD1	ENSGALG00000003767
NKIRAS1	ENSGALG00000011289
NKIRAS2	ENSGALG00000028971
NKRF	ENSGALG00000008645
NKX2-1	ENSGALG00000037632
NKX2-2	ENSGALG00000036869
NKX2-3	ENSGALG00000030932
NKX2-5	ENSGALG00000002886
NKX2-8	ENSGALG00000028483
NKX6-1	ENSGALG00000032545
NKX6-2	ENSGALG00000010500
NKX6-3	ENSGALG00000018503
NLE1	ENSGALG00000004691
NLGN3	ENSGALG00000005553
NLK	ENSGALG00000005699
NLN	ENSGALG00000014769
NLRC5	ENSGALG00000001256
NLRX1	ENSGALG00000044053
NMBR	ENSGALG00000013813
NMD3	ENSGALG00000009533
NME2	ENSGALG00000002932
NME3	ENSGALG00000027635
NME4	ENSGALG00000002688
NME5	ENSGALG00000043569
NME6	ENSGALG00000038044
NME7	ENSGALG00000015230
NME8	ENSGALG00000029677
NMI	ENSGALG00000012480
NMNAT1	ENSGALG00000043318
NMNAT2	ENSGALG00000004642
NMNAT3	ENSGALG00000026187
NMRAL1	ENSGALG00000029820
NMRK1	ENSGALG00000015156
NMRK2	ENSGALG00000025751
NMT1	ENSGALG00000000857
NMT2	ENSGALG00000008791
NMU	ENSGALG00000020151
NMUR1	ENSGALG00000007714
NMUR2	ENSGALG00000004101
NNT	ENSGALG00000014869
NOB1	ENSGALG00000000693
NOC2L	ENSGALG00000002222
NOC3L	ENSGALG00000035667
NOC4L	ENSGALG00000002272
NOG	ENSGALG00000003114
NOL10	ENSGALG00000016445
NOL11	ENSGALG00000003650
NOL12	ENSGALG00000012410
NOL4	ENSGALG00000015198
NOL4L	ENSGALG00000041732
NOL7	ENSGALG00000012695
NOL8	ENSGALG00000004750
NOL9	ENSGALG00000028958
NOM1	ENSGALG00000006437
NONO	ENSGALG00000005507
NOP14	ENSGALG00000015649
NOP16	ENSGALG00000003355
NOP53	ENSGALG00000039473
NOP58	ENSGALG00000008454
NOPCHAP1	ENSGALG00000012694
NOS1	ENSGALG00000008177
NOS2	ENSGALG00000038096
NOTCH1	ENSGALG00000002375
NOTCH2	ENSGALG00000002922
NOTUM	ENSGALG00000002900
NOVA1	ENSGALG00000009850
NOX1	ENSGALG00000006707
NOX3	ENSGALG00000013659
NOX4	ENSGALG00000017235
NOX5	ENSGALG00000008063
NOXA1	ENSGALG00000008952
NOXO1	ENSGALG00000005572
NOXRED1	ENSGALG00000010458
NPAS2	ENSGALG00000016774
NPAS3	ENSGALG00000029022
NPAT	ENSGALG00000017162
NPBWR2	ENSGALG00000029170
NPC1	ENSGALG00000015030
NPC2	ENSGALG00000010237
NPDC1	ENSGALG00000009039
NPEPL1	ENSGALG00000007533
NPFFR1	ENSGALG00000004446
NPFFR2	ENSGALG00000011616
NPHP1	ENSGALG00000008195
NPHP4	ENSGALG00000000966
NPHS2	ENSGALG00000004163
NPL	ENSGALG00000004614
NPLOC4	ENSGALG00000004583
NPM1	ENSGALG00000002197
NPM3	ENSGALG00000032329
NPPB	ENSGALG00000004574
NPR2	ENSGALG00000027630
NPR3	ENSGALG00000017405
NPRL2	ENSGALG00000002131
NPRL3	ENSGALG00000007456
NPSR1	ENSGALG00000041820
NPTN	ENSGALG00000001741
NPTX1	ENSGALG00000017418
NPTX2	ENSGALG00000003562
NPVF	ENSGALG00000011022
NPY1R	ENSGALG00000009498
NPY2R	ENSGALG00000009280
NPY5R	ENSGALG00000009499
NPY	ENSGALG00000010983
NQO2	ENSGALG00000025747
NR0B1	ENSGALG00000016287
NR0B2	ENSGALG00000000887
NR1D2	ENSGALG00000011291
NR1H4	ENSGALG00000011594
NR2C1	ENSGALG00000011327
NR2C2AP	ENSGALG00000027375
NR2C2	ENSGALG00000008519
NR2E1	ENSGALG00000015305
NR2E3	ENSGALG00000002093
NR2F1	ENSGALG00000027907
NR2F2	ENSGALG00000007000
NR2F6	ENSGALG00000043010
NR3C1	ENSGALG00000032992
NR3C2	ENSGALG00000010035
NR4A2	ENSGALG00000012538
NR4A3	ENSGALG00000013568
NR5A1	ENSGALG00000001080
NR5A2	ENSGALG00000002182
NR6A1	ENSGALG00000001073
NRAP	ENSGALG00000008914
NRARP	ENSGALG00000027231
NRAS	ENSGALG00000026692
NRBF2	ENSGALG00000002959
NRBP1	ENSGALG00000016512
NRBP2	ENSGALG00000029760
NRCAM	ENSGALG00000009514
NRDC	ENSGALG00000010565
NRDE2	ENSGALG00000010677
NREP	ENSGALG00000027891
NRG1	ENSGALG00000015422
NRG3	ENSGALG00000002327
NRG4	ENSGALG00000002952
NRGN	ENSGALG00000018942
NRIP1	ENSGALG00000015681
NRIP3	ENSGALG00000005903
NRN1	ENSGALG00000043041
NRP1	ENSGALG00000007140
NRP2	ENSGALG00000008621
NRROS	ENSGALG00000006402
NRSN1	ENSGALG00000037811
NRTN	ENSGALG00000021647
NRXN1	ENSGALG00000009107
NSA2	ENSGALG00000014942
NSD2	ENSGALG00000015705
NSD3	ENSGALG00000003299
NSDHL	ENSGALG00000007493
NSF	ENSGALG00000001055
NSFL1C	ENSGALG00000006182
NSG1	ENSGALG00000015010
NSG2	ENSGALG00000028602
NSL1	ENSGALG00000009814
NSMAF	ENSGALG00000038838
NSMCE1	ENSGALG00000006307
NSMCE4A	ENSGALG00000009504
NSMF	ENSGALG00000008681
NSRP1	ENSGALG00000004186
NSUN2	ENSGALG00000013064
NSUN3	ENSGALG00000015414
NSUN4	ENSGALG00000010360
NSUN5	ENSGALG00000000891
NSUN6	ENSGALG00000008564
NSUN7	ENSGALG00000014264
NT5C1A	ENSGALG00000003816
NT5C2	ENSGALG00000008179
NT5C3A	ENSGALG00000031397
NT5C3B	ENSGALG00000003651
NT5DC1	ENSGALG00000014964
NT5DC2	ENSGALG00000035596
NT5DC3	ENSGALG00000029746
NT5E	ENSGALG00000015833
NT5M	ENSGALG00000004842
NTAN1	ENSGALG00000040905
NTAQ1	ENSGALG00000030059
NTHL1	ENSGALG00000005617
NTM	ENSGALG00000001437
NTMT1	ENSGALG00000017611
NTN1	ENSGALG00000023626
NTN4	ENSGALG00000011406
NTNG1	ENSGALG00000031122
NTNG2	ENSGALG00000003677
NTRK1	ENSGALG00000019019
NTRK2	ENSGALG00000012594
NTRK3	ENSGALG00000040241
NTS	ENSGALG00000027192
NTSR1	ENSGALG00000005524
NUAK1	ENSGALG00000012662
NUB1	ENSGALG00000006181
NUBP1	ENSGALG00000007241
NUBP2	ENSGALG00000002316
NUBPL	ENSGALG00000009983
NUCB2	ENSGALG00000006147
NUCKS1	ENSGALG00000000708
NUDCD1	ENSGALG00000040879
NUDCD2	ENSGALG00000001726
NUDCD3	ENSGALG00000038299
NUDC	ENSGALG00000000895
NUDT12	ENSGALG00000015268
NUDT13	ENSGALG00000004319
NUDT14	ENSGALG00000028940
NUDT15	ENSGALG00000016994
NUDT19	ENSGALG00000029498
NUDT1	ENSGALG00000004245
NUDT21	ENSGALG00000003084
NUDT2	ENSGALG00000027295
NUDT3	ENSGALG00000002830
NUDT4	ENSGALG00000011285
NUDT5	ENSGALG00000013967
NUDT6	ENSGALG00000011834
NUDT7	ENSGALG00000034395
NUDT8	ENSGALG00000030153
NUDT9	ENSGALG00000010932
NUF2	ENSGALG00000003438
NUFIP1	ENSGALG00000016972
NUFIP2	ENSGALG00000004042
NUMA1	ENSGALG00000001258
NUMB	ENSGALG00000009300
NUP107	ENSGALG00000009934
NUP133	ENSGALG00000011091
NUP153	ENSGALG00000012720
NUP155	ENSGALG00000003688
NUP188	ENSGALG00000043394
NUP205	ENSGALG00000011662
NUP210	ENSGALG00000005078
NUP35	ENSGALG00000002689
NUP37	ENSGALG00000012759
NUP42	ENSGALG00000010942
NUP43	ENSGALG00000012387
NUP50	ENSGALG00000014222
NUP54	ENSGALG00000011506
NUP58	ENSGALG00000017111
NUP62	ENSGALG00000004856
NUP85	ENSGALG00000007974
NUP88	ENSGALG00000032280
NUP93	ENSGALG00000003010
NUP98	ENSGALG00000040018
NUS1	ENSGALG00000014899
NUSAP1	ENSGALG00000008584
NUTF2	ENSGALG00000001602
NVL	ENSGALG00000009322
NWD2	ENSGALG00000014337
NXF1	ENSGALG00000032057
NXNL1	ENSGALG00000038506
NXNL2	ENSGALG00000026598
NXPE3	ENSGALG00000015344
NXPH1	ENSGALG00000010711
NXPH2	ENSGALG00000029083
NXPH3	ENSGALG00000038645
NXT2	ENSGALG00000008092
NYAP2	ENSGALG00000004966
NYX	ENSGALG00000016228
OAF	ENSGALG00000006715
OARD1	ENSGALG00000003228
OAT	ENSGALG00000031158
OAZ1	ENSGALG00000000812
OBI1	ENSGALG00000016911
OBSL1	ENSGALG00000011242
OC90	ENSGALG00000030128
OCA2	ENSGALG00000016740
OCIAD1	ENSGALG00000014081
OCRL	ENSGALG00000003920
ODAD2	ENSGALG00000007417
ODAD4	ENSGALG00000003464
ODC1	ENSGALG00000016444
ODF2	ENSGALG00000004767
ODF2L	ENSGALG00000006804
ODR4	ENSGALG00000005080
OFD1	ENSGALG00000016576
OGA	ENSGALG00000007697
OGDH	ENSGALG00000014155
OGDHL	ENSGALG00000002266
OGFOD1	ENSGALG00000003071
OGFOD2	ENSGALG00000003687
OGFOD3	ENSGALG00000001618
OGFR	ENSGALG00000005609
OGFRL1	ENSGALG00000015951
OGG1	ENSGALG00000006651
OGN	ENSGALG00000026736
OGT	ENSGALG00000005425
OIP5	ENSGALG00000008579
OIT3	ENSGALG00000004345
OLA1	ENSGALG00000009325
OLAH	ENSGALG00000043833
OLFM1	ENSGALG00000002515
OLFM3	ENSGALG00000005203
OLFM4	ENSGALG00000016943
OLFML1	ENSGALG00000027184
OLFML2A	ENSGALG00000001048
OLFML2B	ENSGALG00000002667
OLFML3	ENSGALG00000001956
OLIG2	ENSGALG00000031010
OMA1	ENSGALG00000010861
OMD	ENSGALG00000026080
OMG	ENSGALG00000005594
ONECUT1	ENSGALG00000038618
OPA1	ENSGALG00000007150
OPA3	ENSGALG00000051947
OPCML	ENSGALG00000001442
OPN3	ENSGALG00000010762
OPN4	ENSGALG00000001934
OPN5	ENSGALG00000016725
OPRD1	ENSGALG00000036782
OPRK1	ENSGALG00000015269
OPRL1	ENSGALG00000027965
OPRM1	ENSGALG00000013616
OPTC	ENSGALG00000003554
OPTN	ENSGALG00000013738
ORAI1	ENSGALG00000004240
ORAI2	ENSGALG00000001837
ORC1	ENSGALG00000010623
ORC2	ENSGALG00000008234
ORC3	ENSGALG00000015800
ORC4	ENSGALG00000012448
ORC5	ENSGALG00000008175
ORC6	ENSGALG00000004342
ORMDL2	ENSGALG00000031940
ORMDL3	ENSGALG00000029142
OSBP2	ENSGALG00000007758
OSBP	ENSGALG00000030548
OSBPL11	ENSGALG00000012059
OSBPL1A	ENSGALG00000015086
OSBPL2	ENSGALG00000005195
OSBPL3	ENSGALG00000011007
OSBPL5	ENSGALG00000006401
OSBPL6	ENSGALG00000009172
OSBPL8	ENSGALG00000010246
OSBPL9	ENSGALG00000010555
OSCP1	ENSGALG00000002123
OSER1	ENSGALG00000004321
OSGEPL1	ENSGALG00000037727
OSGIN2	ENSGALG00000042840
OSMR	ENSGALG00000003747
OSR1	ENSGALG00000016473
OSR2	ENSGALG00000037695
OST4	ENSGALG00000029837
OSTC	ENSGALG00000010526
OSTF1	ENSGALG00000017447
OSTM1	ENSGALG00000015306
OSTN	ENSGALG00000007226
OTC	ENSGALG00000016254
OTOA	ENSGALG00000007070
OTOF	ENSGALG00000016577
OTOGL	ENSGALG00000010342
OTOL1	ENSGALG00000026305
OTOP1	ENSGALG00000030356
OTOP2	ENSGALG00000007791
OTOP3	ENSGALG00000028214
OTOR	ENSGALG00000008732
OTOS	ENSGALG00000041744
OTP	ENSGALG00000026744
OTUD3	ENSGALG00000043920
OTUD4	ENSGALG00000009968
OTUD6B	ENSGALG00000041337
OTUD7A	ENSGALG00000003802
OTUD7B	ENSGALG00000013348
OTULIN	ENSGALG00000019543
OTULINL	ENSGALG00000012965
OTX1	ENSGALG00000028817
OVCH2	ENSGALG00000005318
OVOL2	ENSGALG00000008702
OXCT1	ENSGALG00000014846
OXGR1	ENSGALG00000016891
OXNAD1	ENSGALG00000011239
OXR1	ENSGALG00000042182
OXSM	ENSGALG00000011312
OXSR1	ENSGALG00000005979
OXT	ENSGALG00000019026
OXTR	ENSGALG00000003138
P2RX1	ENSGALG00000001573
P2RX4	ENSGALG00000003901
P2RX5	ENSGALG00000004613
P2RX6	ENSGALG00000026902
P2RX7	ENSGALG00000003863
P2RY13	ENSGALG00000039432
P2RY1	ENSGALG00000010357
P2RY4	ENSGALG00000004346
P2RY6	ENSGALG00000017327
P2RY8	ENSGALG00000016687
P3H1	ENSGALG00000004833
P3H2	ENSGALG00000040866
P3H3	ENSGALG00000014490
P3H4	ENSGALG00000027462
P4HA1	ENSGALG00000004325
P4HA2	ENSGALG00000006677
P4HTM	ENSGALG00000006937
PA2G4	ENSGALG00000034218
PAAF1	ENSGALG00000017318
PABIR2	ENSGALG00000006108
PABPC1L	ENSGALG00000004123
PABPC3	ENSGALG00000030280
PABPC4	ENSGALG00000003800
PABPN1L	ENSGALG00000006242
PACC1	ENSGALG00000009822
PACRG	ENSGALG00000011560
PACRGL	ENSGALG00000014406
PACS2	ENSGALG00000033328
PACSIN1	ENSGALG00000002802
PACSIN2	ENSGALG00000014159
PACSIN3	ENSGALG00000008231
PADI1	ENSGALG00000039572
PADI2	ENSGALG00000029212
PAFAH1B1	ENSGALG00000005834
PAFAH1B2	ENSGALG00000027918
PAFAH2	ENSGALG00000021658
PAG1	ENSGALG00000034188
PAH	ENSGALG00000012754
PAICS	ENSGALG00000013726
PAIP1	ENSGALG00000014867
PAIP2	ENSGALG00000002488
PAK1	ENSGALG00000000681
PAK1IP1	ENSGALG00000012724
PAK2	ENSGALG00000006426
PAK3	ENSGALG00000008058
PAK5	ENSGALG00000008947
PALB2	ENSGALG00000006078
PALD1	ENSGALG00000004465
PALM2AKAP2	ENSGALG00000015656
PALMD	ENSGALG00000005442
PALM	ENSGALG00000026055
PALS1	ENSGALG00000009581
PALS2	ENSGALG00000010988
PAM	ENSGALG00000015256
PAMR1	ENSGALG00000007886
PAN2	ENSGALG00000031512
PAN3	ENSGALG00000017092
PANK1	ENSGALG00000006431
PANK2	ENSGALG00000015978
PANK3	ENSGALG00000001895
PANK4	ENSGALG00000001165
PANX1	ENSGALG00000039751
PANX2	ENSGALG00000000003
PANX3	ENSGALG00000021443
PAOX	ENSGALG00000054212
PAPLN	ENSGALG00000009315
PAPOLA	ENSGALG00000033099
PAPOLG	ENSGALG00000007853
PAPPA	ENSGALG00000007079
PAPSS1	ENSGALG00000010542
PAPSS2	ENSGALG00000003689
PAQR3	ENSGALG00000010886
PAQR5	ENSGALG00000008077
PAQR7	ENSGALG00000009680
PAQR8	ENSGALG00000016675
PAQR9	ENSGALG00000021180
PARD3B	ENSGALG00000042645
PARD3	ENSGALG00000007125
PARD6A	ENSGALG00000001214
PARD6B	ENSGALG00000007994
PARD6G	ENSGALG00000013594
PARG	ENSGALG00000002117
PARK7	ENSGALG00000036214
PARL	ENSGALG00000002315
PARN	ENSGALG00000003091
PARP11	ENSGALG00000014347
PARP12	ENSGALG00000046187
PARP16	ENSGALG00000007365
PARP1	ENSGALG00000009228
PARP3	ENSGALG00000004517
PARP4	ENSGALG00000034473
PARP6	ENSGALG00000001981
PARP8	ENSGALG00000014880
PARP9	ENSGALG00000045511
PARPBP	ENSGALG00000012756
PARS2	ENSGALG00000010789
PARVA	ENSGALG00000005438
PARVB	ENSGALG00000014201
PARVG	ENSGALG00000014203
PASK	ENSGALG00000006016
PATJ	ENSGALG00000010934
PATL1	ENSGALG00000042641
PATL2	ENSGALG00000002167
PATZ1	ENSGALG00000006934
PAWR	ENSGALG00000010320
PAX1	ENSGALG00000039040
PAX2	ENSGALG00000005689
PAX3	ENSGALG00000030944
PAX5	ENSGALG00000016431
PAX6	ENSGALG00000012123
PAX9	ENSGALG00000010114
PAXBP1	ENSGALG00000036833
PBK	ENSGALG00000016582
PBLD	ENSGALG00000003935
PBX1	ENSGALG00000003429
PBX3	ENSGALG00000000972
PBXIP1	ENSGALG00000050763
PCARE	ENSGALG00000009007
PCBD1	ENSGALG00000027835
PCBD2	ENSGALG00000006367
PCBP2	ENSGALG00000041030
PCBP3	ENSGALG00000004394
PCBP4	ENSGALG00000027695
PCCA	ENSGALG00000016872
PCCB	ENSGALG00000037238
PCDH10	ENSGALG00000009719
PCDH12	ENSGALG00000002544
PCDH15	ENSGALG00000002744
PCDH17	ENSGALG00000016941
PCDH18	ENSGALG00000009732
PCDH19	ENSGALG00000006822
PCDH1	ENSGALG00000002553
PCDH20	ENSGALG00000016934
PCDH7	ENSGALG00000033883
PCDH8	ENSGALG00000036258
PCDH9	ENSGALG00000016908
PCDHGC3	ENSGALG00000028565
PCF11	ENSGALG00000017249
PCGF2	ENSGALG00000018815
PCGF3	ENSGALG00000015333
PCGF5	ENSGALG00000006502
PCGF6	ENSGALG00000008230
PCID2	ENSGALG00000016831
PCIF1	ENSGALG00000023547
PCK1	ENSGALG00000007636
PCM1	ENSGALG00000013602
PCMT1	ENSGALG00000012388
PCMTD1	ENSGALG00000031035
PCMTD2	ENSGALG00000005901
PCNA	ENSGALG00000029292
PCNP	ENSGALG00000015330
PCNT	ENSGALG00000007021
PCNX1	ENSGALG00000000296
PCNX2	ENSGALG00000011013
PCNX4	ENSGALG00000011922
PCOLCE2	ENSGALG00000002623
PCSK1	ENSGALG00000014681
PCSK2	ENSGALG00000008734
PCSK4	ENSGALG00000026384
PCSK6	ENSGALG00000030076
PCSK7	ENSGALG00000029220
PCTP	ENSGALG00000003099
PCYOX1	ENSGALG00000013878
PCYOX1L	ENSGALG00000040340
PCYT1A	ENSGALG00000007474
PCYT1B	ENSGALG00000016318
PCYT2	ENSGALG00000007251
PDAP1	ENSGALG00000036552
PDCD10	ENSGALG00000009477
PDCD11	ENSGALG00000008265
PDCD1	ENSGALG00000046559
PDCD1LG2	ENSGALG00000031794
PDCD2	ENSGALG00000011169
PDCD2L	ENSGALG00000054629
PDCD4	ENSGALG00000008700
PDCD5	ENSGALG00000004648
PDCD6	ENSGALG00000013400
PDCD7	ENSGALG00000021027
PDC	ENSGALG00000030417
PDCL2	ENSGALG00000013783
PDCL3	ENSGALG00000016772
PDCL	ENSGALG00000001275
PDE10A	ENSGALG00000011537
PDE12	ENSGALG00000052355
PDE1A	ENSGALG00000008885
PDE3A	ENSGALG00000013143
PDE3B	ENSGALG00000006035
PDE4B	ENSGALG00000011094
PDE4D	ENSGALG00000014727
PDE5A	ENSGALG00000011982
PDE6B	ENSGALG00000015373
PDE6C	ENSGALG00000006626
PDE6G	ENSGALG00000004514
PDE6H	ENSGALG00000025735
PDE7A	ENSGALG00000038395
PDE7B	ENSGALG00000013941
PDE8A	ENSGALG00000005992
PDE8B	ENSGALG00000004339
PDE9A	ENSGALG00000016186
PDGFA	ENSGALG00000003642
PDGFB	ENSGALG00000012178
PDGFC	ENSGALG00000009378
PDGFD	ENSGALG00000017179
PDGFRA	ENSGALG00000013929
PDGFRB	ENSGALG00000030613
PDGFRL	ENSGALG00000013617
PDHB	ENSGALG00000029576
PDHX	ENSGALG00000033753
PDIA2	ENSGALG00000040070
PDIA3	ENSGALG00000008348
PDIA4	ENSGALG00000043006
PDIA5	ENSGALG00000011689
PDIA6	ENSGALG00000016447
PDIK1L	ENSGALG00000001463
PDILT	ENSGALG00000002006
PDK1	ENSGALG00000013235
PDK2	ENSGALG00000045846
PDK3	ENSGALG00000016323
PDK4	ENSGALG00000009700
PDLIM1	ENSGALG00000005422
PDLIM3	ENSGALG00000013414
PDLIM4	ENSGALG00000039872
PDLIM5	ENSGALG00000012211
PDLIM7	ENSGALG00000026159
PDP1	ENSGALG00000034876
PDP2	ENSGALG00000005146
PDPK1	ENSGALG00000006418
PDPR	ENSGALG00000002690
PDRG1	ENSGALG00000035111
PDS5A	ENSGALG00000014286
PDS5B	ENSGALG00000017070
PDSS1	ENSGALG00000007559
PDSS2	ENSGALG00000015313
PDXDC1	ENSGALG00000034829
PDXK	ENSGALG00000016205
PDXP	ENSGALG00000023131
PDZD11	ENSGALG00000004198
PDZD2	ENSGALG00000002854
PDZD3	ENSGALG00000006779
PDZD7	ENSGALG00000020726
PDZD8	ENSGALG00000029095
PDZK1	ENSGALG00000015492
PDZK1IP1	ENSGALG00000010473
PDZRN3	ENSGALG00000007819
PDZRN4	ENSGALG00000009530
PEA15	ENSGALG00000051412
PEAK1	ENSGALG00000002759
PEAR1	ENSGALG00000052868
PEBP1	ENSGALG00000007403
PECAM1	ENSGALG00000046125
PECR	ENSGALG00000011497
PEDS1	ENSGALG00000026906
PELI1	ENSGALG00000008837
PELI2	ENSGALG00000012124
PEMT	ENSGALG00000004875
PENK	ENSGALG00000015419
PEPD	ENSGALG00000004899
PER2	ENSGALG00000005521
PER3	ENSGALG00000000573
PERM1	ENSGALG00000026875
PES1	ENSGALG00000007778
PEX10	ENSGALG00000001223
PEX11A	ENSGALG00000006534
PEX11G	ENSGALG00000043756
PEX12	ENSGALG00000002151
PEX13	ENSGALG00000007832
PEX14	ENSGALG00000002836
PEX16	ENSGALG00000008421
PEX1	ENSGALG00000009410
PEX26	ENSGALG00000019286
PEX2	ENSGALG00000035752
PEX3	ENSGALG00000013777
PEX5	ENSGALG00000014683
PEX5L	ENSGALG00000043386
PEX7	ENSGALG00000013874
PFDN1	ENSGALG00000000946
PFDN2	ENSGALG00000026374
PFDN4	ENSGALG00000007792
PFDN5	ENSGALG00000041924
PFKFB1	ENSGALG00000032385
PFKFB2	ENSGALG00000001117
PFKFB3	ENSGALG00000040369
PFKFB4	ENSGALG00000002099
PFKL	ENSGALG00000006543
PFKM	ENSGALG00000033271
PFKP	ENSGALG00000006939
PFN2	ENSGALG00000054686
PFN3	ENSGALG00000009457
PFN4	ENSGALG00000019866
PGAM5	ENSGALG00000002137
PGAP2	ENSGALG00000027762
PGAP3	ENSGALG00000022030
PGAP6	ENSGALG00000026188
PGBD5	ENSGALG00000011111
PGD	ENSGALG00000002797
PGGHG	ENSGALG00000004234
PGGT1B	ENSGALG00000008197
PGLYRP2	ENSGALG00000029971
PGM1	ENSGALG00000011016
PGM2L1	ENSGALG00000017304
PGM3	ENSGALG00000015854
PGM5	ENSGALG00000014995
PGP	ENSGALG00000005888
PGPEP1L	ENSGALG00000007022
PGR	ENSGALG00000017195
PGRMC1	ENSGALG00000020260
PGRMC2	ENSGALG00000010209
PGS1	ENSGALG00000007181
PHACTR1	ENSGALG00000012732
PHACTR2	ENSGALG00000013768
PHAF1	ENSGALG00000003183
PHAX	ENSGALG00000014691
PHB2	ENSGALG00000014567
PHB	ENSGALG00000038604
PHC1	ENSGALG00000014263
PHC3	ENSGALG00000009372
PHETA1	ENSGALG00000041153
PHETA2	ENSGALG00000011898
PHEX	ENSGALG00000016375
PHF10	ENSGALG00000011192
PHF11	ENSGALG00000019094
PHF12	ENSGALG00000031368
PHF13	ENSGALG00000028148
PHF14	ENSGALG00000038041
PHF19	ENSGALG00000001595
PHF20	ENSGALG00000001522
PHF20L1	ENSGALG00000033205
PHF21A	ENSGALG00000008403
PHF21B	ENSGALG00000014218
PHF24	ENSGALG00000001900
PHF3	ENSGALG00000016267
PHF5A	ENSGALG00000011953
PHF6	ENSGALG00000006094
PHGDH	ENSGALG00000002988
PHIP	ENSGALG00000015889
PHKA1	ENSGALG00000004801
PHKA2	ENSGALG00000016518
PHKB	ENSGALG00000004004
PHKG1	ENSGALG00000002485
PHLDA3	ENSGALG00000019802
PHLDB2	ENSGALG00000015377
PHLPP1	ENSGALG00000012888
PHLPP2	ENSGALG00000000875
PHOSPHO1	ENSGALG00000033683
PHOSPHO2	ENSGALG00000020736
PHOX2B	ENSGALG00000014250
PHTF1	ENSGALG00000001845
PHTF2	ENSGALG00000008335
PHYH	ENSGALG00000035636
PHYHIPL	ENSGALG00000029863
PHYKPL	ENSGALG00000023920
PI15	ENSGALG00000029264
PI4K2B	ENSGALG00000031538
PI4KA	ENSGALG00000040756
PI4KB	ENSGALG00000024034
